A,Healthcare,"Agilent Technologies, Inc."
AAL,Industrials,"American Airlines Group, Inc."
AAP,Consumer Cyclical,Advance Auto Parts Inc Advance 
AAPL,Technology,Apple Inc.
ABBV,Healthcare,AbbVie Inc.
ABC,No Information,No Information
ABMD,Healthcare,"ABIOMED, Inc."
ABT,Healthcare,Abbott Laboratories
ACN,No Information,No Information
ADBE,Technology,Adobe Inc.
ADI,Technology,"Analog Devices, Inc."
ADM,Consumer Defensive,Archer-Daniels-Midland Company
ADP,Industrials,"Automatic Data Processing, Inc."
ADSK,Technology,"Autodesk, Inc."
AEE,Utilities,Ameren Corporation
AEP,Utilities,American Electric Power Company
AES,Utilities,The AES Corporation
AFL,Financial Services,AFLAC Incorporated
AIG,No Information,No Information
AIV,No Information,No Information
AIZ,Financial Services,"Assurant, Inc."
AJG,Financial Services,Arthur J. Gallagher & Co.
AKAM,Technology,"Akamai Technologies, Inc."
ALB,Basic Materials,Albemarle Corporation
ALGN,No Information,No Information
ALK,Industrials,"Alaska Air Group, Inc."
ALL,Financial Services,Allstate Corporation (The)
ALLE,Industrials,Allegion plc
ALXN,Healthcare,"Alexion Pharmaceuticals, Inc."
AMAT,Technology,"Applied Materials, Inc."
AMCR,Consumer Cyclical,Amcor plc
AMD,Technology,"Advanced Micro Devices, Inc."
AME,Industrials,"AMETEK, Inc."
AMGN,Healthcare,Amgen Inc.
AMP,No Information,No Information
AMT,Real Estate,American Tower Corporation (REI
AMZN,Consumer Cyclical,"Amazon.com, Inc."
ANET,Technology,"Arista Networks, Inc."
ANSS,Technology,"ANSYS, Inc."
ANTM,No Information,No Information
AON,Financial Services,Aon plc
AOS,Industrials,A.O. Smith Corporation
APA,Energy,Apache Corporation
APD,Basic Materials,"Air Products and Chemicals, Inc"
APH,No Information,No Information
APTV,No Information,No Information
ARE,Real Estate,Alexandria Real Estate Equities
ATO,Utilities,Atmos Energy Corporation
ATVI,Communication Services,"Activision Blizzard, Inc"
AVB,No Information,No Information
AVGO,Technology,Broadcom Inc.
AVY,Industrials,Avery Dennison Corporation
AWK,Utilities,"American Water Works Company, I"
AXP,Financial Services,American Express Company
AZO,Consumer Cyclical,"AutoZone, Inc."
BA,Industrials,Boeing Company (The)
BAC,Financial Services,Bank of America Corporation
BAX,Healthcare,Baxter International Inc.
BBY,Consumer Cyclical,"Best Buy Co., Inc."
BDX,No Information,No Information
BEN,Financial Services,"Franklin Resources, Inc."
BF.B,No Information,No Information
BIIB,Healthcare,Biogen Inc.
BIO,No Information,No Information
BK,No Information,No Information
BKNG,Consumer Cyclical,Booking Holdings Inc. Common St
BKR,Energy,Baker Hughes Company
BLK,No Information,No Information
BLL,Consumer Cyclical,Ball Corporation
BMY,No Information,No Information
BR,Technology,"Broadridge Financial Solutions,"
BRK.B,No Information,No Information
BSX,Healthcare,Boston Scientific Corporation
BWA,Consumer Cyclical,BorgWarner Inc.
BXP,Real Estate,"Boston Properties, Inc."
C,No Information,No Information
CAG,Consumer Defensive,"ConAgra Brands, Inc."
CAH,No Information,No Information
CARR,Industrials,Carrier Global Corporation
CAT,Industrials,"Caterpillar, Inc."
CB,No Information,No Information
CBOE,Financial Services,"Cboe Global Markets, Inc."
CBRE,No Information,No Information
CCI,Real Estate,Crown Castle International Corp
CCL,No Information,No Information
CDNS,Technology,"Cadence Design Systems, Inc."
CDW,No Information,No Information
CE,Basic Materials,Celanese Corporation Celanese C
CERN,Healthcare,Cerner Corporation
CF,Basic Materials,"CF Industries Holdings, Inc."
CFG,Financial Services,"Citizens Financial Group, Inc."
CHD,Consumer Defensive,"Church & Dwight Company, Inc."
CHRW,No Information,No Information
CHTR,Communication Services,"Charter Communications, Inc."
CI,Healthcare,Cigna Corporation
CINF,Financial Services,Cincinnati Financial Corporatio
CL,Consumer Defensive,Colgate-Palmolive Company
CLX,Consumer Defensive,Clorox Company (The)
CMA,No Information,No Information
CMCSA,No Information,No Information
CME,Financial Services,CME Group Inc.
CMG,Consumer Cyclical,"Chipotle Mexican Grill, Inc."
CMI,Industrials,Cummins Inc.
CMS,Utilities,CMS Energy Corporation
CNC,No Information,No Information
CNP,Utilities,"CenterPoint Energy, Inc (Holdin"
COF,Financial Services,Capital One Financial Corporati
COG,Energy,Cabot Oil & Gas Corporation
COO,No Information,No Information
COP,Energy,ConocoPhillips
COST,Consumer Defensive,Costco Wholesale Corporation
COTY,Consumer Defensive,Coty Inc.
CPB,Consumer Defensive,Campbell Soup Company
CPRT,Industrials,"Copart, Inc."
CRM,No Information,No Information
CSCO,No Information,No Information
CSX,Industrials,CSX Corporation
CTAS,Industrials,Cintas Corporation
CTL,No Information,No Information
CTSH,Technology,Cognizant Technology Solutions 
CTVA,Basic Materials,"Corteva, Inc."
CTXS,Technology,"Citrix Systems, Inc."
CVS,No Information,No Information
CVX,No Information,No Information
CXO,Energy,Concho Resources Inc.
D,Utilities,"Dominion Energy, Inc."
DAL,Industrials,"Delta Air Lines, Inc."
DD,No Information,No Information
DE,Industrials,Deere & Company
DFS,Financial Services,Discover Financial Services
DG,No Information,No Information
DGX,No Information,No Information
DHI,Consumer Cyclical,"D.R. Horton, Inc."
